quechua,normalizado,variantes,categoria,traduccion,definicion_completa
anch'ikuy,anch'ikuy,anch'ikuy,prnl.,"y r. Regalarse, pagarse de sus gustos, vivir muellemente (JAL). anka irpa, anka mallku, mallku paka. s. Aguilucho. Cría del águila. anka mallku, mallku paka, anka irpa. s. Aguilucho Cría del águila. anka. Paka. s. Águila. Ave rapaz","y r. Regalarse, pagarse de sus gustos, vivir muellemente (JAL). anka irpa, anka mallku, mallku paka. s. Aguilucho. Cría del águila. anka mallku, mallku paka, anka irpa. s. Aguilucho Cría del águila. anka. Paka. s. Águila. Ave rapaz."
ankalli kay,ankalli kay,"ankalli kay, awqalli kay",s.,Rebeldía. Calidad y estado de rebelde,Rebeldía. Calidad y estado de rebelde.
ankalli,ankalli,ankalli,adj. y s.,Rebelde. Que se rebela,Rebelde. Que se rebela.
ankaylli juqharina,ankaylli juqharina,ankaylli juqharina,s.,Acento. La mayor intensidad con que se pronuncia una sílaba de una palabra,Acento. La mayor intensidad con que se pronuncia una sílaba de una palabra.
anku,anku,"anku, jank'u",s.,Anat. Nervio. Tendón. Fibra muscular,Anat. Nervio. Tendón. Fibra muscular.
anku,anku,anku,adj.,Dícese a las personas muy delgadas (Pot.),Dícese a las personas muy delgadas (Pot.)
anku,anku,anku,adj.,"Elástico, -ca. Que se estira y encoge como la goma","Elástico, -ca. Que se estira y encoge como la goma."
anku,anku,anku,adj.,Flexible y consistente,"Flexible y consistente. | Consistente. Que tiene duración y consistencia. Chula, sallu."
ankuyay,ankuyay,"ankuyay, tulluyay",intr. y prnl.,"Enflaquecer. Enflaquecerse, ponerse flaco","Enflaquecer. Enflaquecerse, ponerse flaco."
ankhay,ankhay,ankhay,adj. y pron.,"Precisamente este y no otro: Ankhay rijakunata apanki, ama jaqaykunataqa. Llévate estas rejas de arado y no aquellas (JH). ankhiy. khaskiy, jankhiy. tr. Acabar de comer con los dientes la carne adherida a un hueso (JH). anqallu ñawpa. Fon. velar, postdorsal","Precisamente este y no otro: Ankhay rijakunata apanki, ama jaqaykunataqa. Llévate estas rejas de arado y no aquellas (JH). ankhiy. khaskiy, jankhiy. tr. Acabar de comer con los dientes la carne adherida a un hueso (JH). anqallu ñawpa. Fon. velar, postdorsal."
anqallu,anqallu,anqallu,adj. y s.,Neol. Postvelar. Punto de articulación posterior del aparato fonador,Neol. Postvelar. Punto de articulación posterior del aparato fonador.
anqara,anqara,anqara,s.,Recipiente grande de calabaza,Recipiente grande de calabaza.
anqas,anqas,anqas,adj.,"Azul. Azur, de color del cielo","Azul. Azur, de color del cielo."
anqasyay,anqasyay,anqasyay,intr.,Azulear. Tirar a azul,Azulear. Tirar a azul.
anqaylli,anqaylli,anqaylli,s.,Eco. Repetición del sonido reflejado,Eco. Repetición del sonido reflejado.
anqusa,anqusa,anqusa,s.,Brindis. Acto de brindar,Brindis. Acto de brindar.
anqusay,anqusay,"anqusay, aypuriy",tr.,"Convidar. Invitar, rogar una persona a otra que la acompañe a comer, beber u otra cosa que le resultaría agradable","Convidar. Invitar, rogar una persona a otra que la acompañe a comer, beber u otra cosa que le resultaría agradable."
anqusay,anqusay,anqusay,intr.,"Brindar. Manifestar, al ir a beber vino u otro licor, el bien que se desea a personas o cosas","Brindar. Manifestar, al ir a beber vino u otro licor, el bien que se desea a personas o cosas."
anquyra,anquyra,anquyra,s.,Entusiasmo. Exaltación del ánimo,Entusiasmo. Exaltación del ánimo.
ansaqiy,ansaqiy,"ansaqiy, jajatiy",intr.,Jadear. Respirar con dificultad,Jadear. Respirar con dificultad.
anta,anta,anta,s.,Cobre. Metal rojizo brillante,Cobre. Metal rojizo brillante.
anta chakra,anta chakra,anta chakra,s.,"Mina de cobre. anta wayrunq'u, anta wanquyru, urqu","Mina de cobre. anta wayrunq'u, anta wanquyru, urqu"
wayrunqu,wayrunqu,wayrunqu,s.,Zángano. Macho de la abeja maestra o reina,"Zángano. Macho de la abeja maestra o reina. | Hombre holgazán. Qhilla, qirpa, illtha."
anta wich'i,anta wich'i,anta wich'i,s.,Vasija hecha de cobre,Vasija hecha de cobre.
antara,antara,antara,s.,Zampona. Caramillo,Zampona. Caramillo.
antawara,antawara,"antawara, akapana",s.,"Arrebol. Colorete, celaje. Aspecto que presenta el cielo cuando hay nubes tenues y de varios matices","Arrebol. Colorete, celaje. Aspecto que presenta el cielo cuando hay nubes tenues y de varios matices."
antay kiru,antay kiru,antay kiru,adj.,Niño que aún no tiene diente,Niño que aún no tiene diente.
antay raphi,antay raphi,antay raphi,s.,Hoja seca propio en la estación de otoño,Hoja seca propio en la estación de otoño.
antay ruphay,antay ruphay,antay ruphay,s.,Arrebol o celaje vespertino,"Arrebol o celaje vespertino, (sinón: Antawara)."
antay qunchuy,antay qunchuy,antay qunchuy,s.,Remolino de viento,Remolino de viento. | Polvareda.
anti runa,anti runa,anti runa,s.,Hombre andino,Hombre andino.
anti unquy,anti unquy,anti unquy,s.,"Enfermedad tropical. anti. Inti lluqsiy. s. Oriente. Punto cardinal del horizonte, por donde sale el sol","Enfermedad tropical. anti. Inti lluqsiy. s. Oriente. Punto cardinal del horizonte, por donde sale el sol."
anti,anti,anti,s.,"Este. antipta, antipi kaq, antimanta kaq. adj. y s. Andino. Relativo a la región de Los Andes","Este. antipta, antipi kaq, antimanta kaq. adj. y s. Andino. Relativo a la región de Los Andes."
antisuyu,antisuyu,antisuyu,s.,"Región este, parte comprendida por el lado de la salida del sol. Uno de las cuatro grandes regiones del Tawantinsuyu y que ocupa la región oriental de él","Región este, parte comprendida por el lado de la salida del sol. Uno de las cuatro grandes regiones del Tawantinsuyu y que ocupa la región oriental de él."
añaka,añaka,añaka,s.,Golosina. Manjar exquisito de pocos nutrientes,Golosina. Manjar exquisito de pocos nutrientes.
añaku,añaku,añaku,adj.,Persona que no tiene habilidad para el trabajo,"Persona que no tiene habilidad para el trabajo. | Vano, insulso, sin resultado, sin efecto. Yanqha."
añala,añala,"añala, muq'i, millp'u",s.,Antojo. Deseo vivo y pasajero,Antojo. Deseo vivo y pasajero.
añas,añas,"añas, añasku, añathuya",s.,"Zorrillo. Zorrino, mofeta","Zorrillo. Zorrino, mofeta."
añasku,añasku,"añasku, añas, añathuya",s.,"Zorrillo. Zorrino, mofeta","Zorrillo. Zorrino, mofeta."
añasu,añasu,añasu,adj.,Concubina del hombre casado,Concubina del hombre casado.
añasu,añasu,añasu,adj. y s.,Adúltero,Adúltero.
añathuya,añathuya,"añathuya, añas, añasku",s.,"Zorrillo. Zorrino, mofeta","Zorrillo. Zorrino, mofeta."
añawaya,añawaya,añawaya,s.,"Arbusto ramoso, espinoso, de flores amarillas que se usa como leña para el fuego","Arbusto ramoso, espinoso, de flores amarillas que se usa como leña para el fuego."
añay ñiy,añay ñiy,añay ñiy,tr.,"Loar, alabar","Loar, alabar."
añay ñukñu,añay ñukñu,"añay ñukñu, sumaq",adj.,"Exquisito, -ta. De singular y extraordinaria calidad, belleza, gusto, sabor, etc","Exquisito, -ta. De singular y extraordinaria calidad, belleza, gusto, sabor, etc."
añay ñukñu,añay ñukñu,añay ñukñu,adj.,"Exquisito, delicado. añay!, sullpay!, pachi!. ¡Gracias! Exclamación de agradecimiento","Exquisito, delicado. añay!, sullpay!, pachi!. ¡Gracias! Exclamación de agradecimiento."
añay,añay,"añay, sumaq, k'acha",adj.,"Bello, -lla. Hermoso, lindo. añay, utirayay. T'ukuy. tr. y prnl. Admirar. Ver, contemplar con sorpresa, asombrarse. añay. Llaksaku, t'uku. s. Admiración. Cosa admirable","Bello, -lla. Hermoso, lindo. añay, utirayay. T'ukuy. tr. y prnl. Admirar. Ver, contemplar con sorpresa, asombrarse. añay. Llaksaku, t'uku. s. Admiración. Cosa admirable."
añay,añay,añay,s.,"Admiración, fascinación, entusiasmo. añaychay, añay niy, jatunyachiy. tr. Alabar. Elogiar. añaychay, añay niy, yupaychay. tr. Bendecir. Alabar","Admiración, fascinación, entusiasmo. añaychay, añay niy, jatunyachiy. tr. Alabar. Elogiar. añaychay, añay niy, yupaychay. tr. Bendecir. Alabar."
añaychay,añaychay,"añaychay, pachi, añaychay",s.,"Gratitud. Agradecimiento de un favor. añaykachay, kaskiykachay","Gratitud. Agradecimiento de un favor. añaykachay, kaskiykachay,"
runaykachay,runaykachay,runaykachay,intr.,"Alardear. Hacer alarde. añaykachay, k'askiykachay. intr. Presumir. Vanagloriarse","Alardear. Hacer alarde. añaykachay, k'askiykachay. intr. Presumir. Vanagloriarse."
añayllu,añayllu,añayllu,s.,Hormiga con alas,Hormiga con alas (sinón: Chhaka).
añu,añu,añu,s.,"Tubérculo de la familia de las tropoleas, algo semejante a la oca y se suele comer hervido o asado después de endulzarlo por asoleamiento","Tubérculo de la familia de las tropoleas, algo semejante a la oca y se suele comer hervido o asado después de endulzarlo por asoleamiento (sinón: Isañu)."
añuqchi,añuqchi,añuqchi,adj.,"Desmedrado, -da. Enteco, raquítico","Desmedrado, -da. Enteco, raquítico."
añuy,añuy,añuy,tr.,Anudar el extremo de un lazo para que no se destrence (JH),Anudar el extremo de un lazo para que no se destrence (JH).
anyay,anyay,"anyay, k'amiy, kunay",tr.,"Reprender. Corregir, amonestar a uno","Reprender. Corregir, amonestar a uno."
anyay,anyay,anyay,s.,"Reprensión, regaño, reproche","Reprensión, regaño, reproche."
anyay,anyay,anyay,tr.,"Zaherir. Censurar, reprender","Zaherir. Censurar, reprender. | Bromear en forma indecente, usar burlas malas. Q'illmay."
apa,apa,apa,adv.,Contigüidad de nacimiento entre un hermano o hermana mayor y otro u otra menor,Contigüidad de nacimiento entre un hermano o hermana mayor y otro u otra menor.
apa,apa,apa,s.,Frazada gruesa hecha de telas o trapos,Frazada gruesa hecha de telas o trapos.
apachiku,apachiku,"apachiku, suchi",s.,Remesa. Envío de algo a otra parte,Remesa. Envío de algo a otra parte. | Encomienda.
apachikuy,apachikuy,apachikuy,tr.,Enviar o mandar encomienda,Enviar o mandar encomienda.
apachimuy,apachimuy,apachimuy,tr.,"Mandar, traer, hacer traer","Mandar, traer, hacer traer."
apachita,apachita,apachita,s.,Altar de piedras amontonadas en los caminos de altas montañas,Altar de piedras amontonadas en los caminos de altas montañas.
apachiy,apachiy,"apachiy, suchiy",tr.,"Remitir, mandar algo a alguien","Remitir, mandar algo a alguien. | Enviar. Mandar. Kachay."
apajaq,apajaq,"apajaq, apaqaq",adj. y s.,Estafador,Estafador.
apajay,apajay,apajay,tr.,Estafar,Estafar.
apaki,apaki,apaki,s.,Cobertizo de ramas,Cobertizo de ramas.
apamuy,apamuy,apamuy,tr.,Traer. Conducir hacia acá,Traer. Conducir hacia acá. | Acercar hacia sí. Qayllachimuy.
apanqura,apanqura,apanqura,s.,Cangrejo. Animal crustáceo,Cangrejo. Animal crustáceo.
apapura,apapura,apapura,adj.,Hermanos contiguos en la edad,Hermanos contiguos en la edad.
apaqa,apaqa,apaqa,s.,Represa desde donde se I lleva el agua para el riego,Represa desde donde se I lleva el agua para el riego.
apaqaq,apaqaq,apaqaq,adj. y s.,Estafador,Estafador.
apaqay,apaqay,apaqay,tr.,Estafar,Estafar.
apaqay,apaqay,apaqay,tr.,"Represar, entibar el agua para cambiarla de dirección","Represar, entibar el agua para cambiarla de dirección."
aparikapuy,aparikapuy,aparikapuy,v.,Llevarse algo ajeno,Llevarse algo ajeno. | Llevarse algo propio. Aparikuy.
aparikuy,aparikuy,aparikuy,v.,Llevarse algo propio,Llevarse algo propio. | Llevarse algo ajeno. Aparikapuy.
aparki,aparki,aparki,s.,Frazada usada con remiendos,Frazada usada con remiendos.
apasanka,apasanka,apasanka,s.,Tarántula. Araña grande,Tarántula. Araña grande.
apatara,apatara,apatara,s.,Zool. Cucaracha,Zool. Cucaracha.
apawa,apawa,apawa,s.,"Antebrazo. Parte inferior del brazo, del codo hasta la muñeca","Antebrazo. Parte inferior del brazo, del codo hasta la muñeca."
apay,apay,"apay, astay",tr.,Transportar. Llevar de un lugar a otro,Transportar. Llevar de un lugar a otro. | Acarrear. Astay.
apay,apay,apay,tr.,Llevar una cosa cual sea su forma. (Véase llevar),Llevar una cosa cual sea su forma. (Véase llevar).
apaykachaq,apaykachaq,apaykachaq,s.,"Transporte. Medio que se utiliza para transportar personas, mercancías, etc. de un lugar a otro","Transporte. Medio que se utiliza para transportar personas, mercancías, etc. de un lugar a otro."
apaykachay,apaykachay,apaykachay,tr.,"Dominar, manejar","Dominar, manejar."
apaykuy,apaykuy,"apaykuy, sat'iykuy, sat'iy",tr.,Meter una cosa en otra,Meter una cosa en otra.
apaykuy,apaykuy,apaykuy,tr.,"Meter. Poner dentro, introducir","Meter. Poner dentro, introducir."
api,api,api,s.,"Mazamorra. Manjar de maíz, leche con azúcar","Mazamorra. Manjar de maíz, leche con azúcar."
apichu,apichu,apichu,s.,"Batata. Camote, tubérculo comestible","Batata. Camote, tubérculo comestible."
apinquya,apinquya,apinquya,s.,Granadilla. Planta paciflorácea de fruto comestible,Granadilla. Planta paciflorácea de fruto comestible.
apu,apu,apu,adj.,"Supremo. Altísimo, que no tiene otro superior","Supremo. Altísimo, que no tiene otro superior."
apu,apu,apu,s.,Señor,Señor. | Gobernador.
apu,apu,apu,s.,"Señor. Por antonomasia, Dios","Señor. Por antonomasia, Dios. | Tratamiento que se da a cualquier hombre. Tata, tayta."
apu kay,apu kay,apu kay,s.,Majestad. Grandeza,Majestad. Grandeza.
apu kay,apu kay,apu kay,s.,Señorío. Dominio sobre alguna cosa,Señorío. Dominio sobre alguna cosa.
apu rimaq,apu rimaq,apu rimaq,s.,Río caudaloso del Perú,Río caudaloso del Perú.
apu rukhu,apu rukhu,apu rukhu,s.,Semental en los auquénidos,Semental en los auquénidos.
apu simi,apu simi,"apu simi, kamachi",s.,"Precepto. Orden, mandato","Precepto. Orden, mandato."
apu suyu,apu suyu,"apu suyu, qhapaq suyu",s.,Reino. Território o Estado regido o governado por un rey,Reino. Território o Estado regido o governado por un rey.
apu ullantay,apu ullantay,apu ullantay,s.,"Drama quechua sobre los amores del general Ullanta y Kusi Quyllur, hija del inka Pachakuti","Drama quechua sobre los amores del general Ullanta y Kusi Quyllur, hija del inka Pachakuti."
apu yupa,apu yupa,apu yupa,s.,Hombre que tiene alta autoridad,Hombre que tiene alta autoridad.
apucha,apucha,apucha,s.,"Abuelo. apuchay, yupaychay, qhapaqchay. tr. Venerar. Tributar sumo respeto, honrar. apuchay, yupaychay, sumaychay. tr. Honrar. Enaltecer, venerar","Abuelo. apuchay, yupaychay, qhapaqchay. tr. Venerar. Tributar sumo respeto, honrar. apuchay, yupaychay, sumaychay. tr. Honrar. Enaltecer, venerar."
apuchay,apuchay,apuchay,tr.,Elevar la calidad,"Elevar la calidad. | Alzar, levantar una cosa. Juqariy, uqhariy. | Elevar. Levantar en alto, enaltecer. Janaqchay."
apuskachaq,apuskachaq,apuskachaq,adj.,"Consentido, mimoso","Consentido, mimoso."
apuskachaq,apuskachaq,apuskachaq,adj.,"Orgulloso, -sa. Altanero, presumido, presuntuoso","Orgulloso, -sa. Altanero, presumido, presuntuoso."
apuskachay,apuskachay,apuskachay,s.,"Orgullo. Altanería, exceso de estimación propia","Orgullo. Altanería, exceso de estimación propia."
apuskachay,apuskachay,apuskachay,s.,Vanidad. Presunción,Vanidad. Presunción.
apuski,apuski,apuski,s.,"Antepasado. Abuelo, ascendiente","Antepasado. Abuelo, ascendiente."
apuykachay,apuykachay,apuykachay,tr.,Dominar. Ejercer dominio,Dominar. Ejercer dominio.
apharuma,apharuma,apharuma,s.,Papa silvestre,Papa silvestre.
ap'a,ap'a,ap'a,s.,Colchón. Cojín grande rellenado de lana o pluma,Colchón. Cojín grande rellenado de lana o pluma.
aqalli,aqalli,aqalli,s.,Intestino,Intestino (sinón: ch'unchull).
aqarapi,aqarapi,aqarapi,s.,Nevada que cae en copos,Nevada que cae en copos.
aqi,aqi,"aqi, kisma",s.,Suegra respecto del yerno,Suegra respecto del yerno.
aqlla wasi,AKLLA WASI,"aqlla wasi, AKLLA WASI",s.,"Convento. Monasterio. aqlla, AKLLA, chiklla. chikllu. s. Selección. Elección de lo mejor. aqllasqa, AKLLASQA, chikllasqa. adj. Selecto, -ta. Escogido","Convento. Monasterio. aqlla, AKLLA, chiklla. chikllu. s. Selección. Elección de lo mejor. aqllasqa, AKLLASQA, chikllasqa. adj. Selecto, -ta. Escogido. | Aplícase a los productos de gran tamaño y calidad. Wanlla."
aqllay,AKLLAY,"aqllay, AKLLAY, chikllay",tr.,"Seleccionar. Elegir, escoger","Seleccionar. Elegir, escoger. | Juntar los buenos tubérculos de los de calidad inferior en tamaño. Wanllay (JAL)."
aqsu,aqsu,aqsu,s.,"Capa. Saya, prenda de vestir de la mujer","Capa. Saya, prenda de vestir de la mujer."
aqtuchiy,aqtuchiy,aqtuchiy,tr.,Obligar a devolver,"Obligar a devolver. | Obligar a vomitar lo que uno haya ingerido. aqtuy, qipnay. Jayruy (JL). tr. Vomitar. Arrojar por la boca lo contenido en el estómago."
aqtuy,aqtuy,"aqtuy, thuqay",intr.,Escupir,Escupir.
aqu,aqu,"aqu, t'iwu",s.,Arena. Conjunto de partículas de roca. Cascajo. Guijo,Arena. Conjunto de partículas de roca. Cascajo. Guijo.
aqullka,aqullka,aqullka,s.,Bufanda. Prenda para abrigar el cuello,Bufanda. Prenda para abrigar el cuello.
aquy,aquy,aquy,adj.,"Innumerable, incontable","Innumerable, incontable."
aquy,aquy,aquy,tr.,Recoger arena,Recoger arena.
aquyra,aquyra,aquyra,s.,Accidente. Suceso o acción que involuntariamente resulta en daño para personas o cosas,Accidente. Suceso o acción que involuntariamente resulta en daño para personas o cosas.
aquyraki,aquyraki,aquyraki,s.,"Desgracia. Suceso funesto, infortunio","Desgracia. Suceso funesto, infortunio. | adj. y s. Aciago, de mal agüero. Tapya, qhincha."
aqha wasi,aqha wasi,aqha wasi,s.,neol. Chichería. Casa o tienda donde se vende chicha,neol. Chichería. Casa o tienda donde se vende chicha.
aqha,aqha,aqha,s.,"Chicha. Bebida alcohólica que resulta de la fermentación del maíz, quinua u otros productos","Chicha. Bebida alcohólica que resulta de la fermentación del maíz, quinua u otros productos."
aqhay,aqhay,aqhay,tr.,Elaborar chicha,Elaborar chicha.
arakiwa,arakiwa,arakiwa,s.,Espantapájaros. Espantajo para ahuyentar los pájaros. aran rimanpa. Fon. Vocal alta,Espantapájaros. Espantajo para ahuyentar los pájaros. aran rimanpa. Fon. Vocal alta.
aran saya,aran saya,aran saya,s.,"Parte de arriba, cumbre: Mallkuqa aran sayapi kawsan. El cóndor vive en las alturas","Parte de arriba, cumbre: Mallkuqa aran sayapi kawsan. El cóndor vive en las alturas. | Parcialidad, arriba."
aranwa,aranwa,aranwa,s.,Teatro. Lugar destinado a la presentación de obras dramáticas u otros espectáculos,Teatro. Lugar destinado a la presentación de obras dramáticas u otros espectáculos.
arapa,arapa,arapa,s.,Celosía,Celosía. | Cortina.
ararankha,ararankha,"ararankha, qaraywa",s.,Lagartija. Reptil de pequeño tamaño de la familia lacértidos,"Lagartija. Reptil de pequeño tamaño de la familia lacértidos. | Lagartija de listas longitudinales de colores plomo, verde, amarillo u otros afines. Sut'ukullu."
arariwa,arariwa,"arariwa, qhawaq",adj.,Vigilante. Guardián de sementeras,Vigilante. Guardián de sementeras.
arawa,arawa,"arawa, runa warkhuna",s.,Horca. Instrumento para ahorcar,Horca. Instrumento para ahorcar.
arawi,arawi,"arawi, jarawi, yarawi",s.,Canto romántico y sentimental,"Canto romántico y sentimental. | Canto religioso, heroico o agrícola. Jaylli. | Canto. Arte de cantar, canción. Taki."
arawi,arawi,"arawi, jarawi",s.,Poema. Obra en verso algo extensa,"Poema. Obra en verso algo extensa. | s. Poesía. Expresión artística de la belleza por medio del verso. arawiku, jarawiq, arawiq, jarawiku. s. Poeta o poetisa. Quien hace poesías. arawiq, yarawiq, jarawiq, arawikuq. s. Poeta."
